NOC 2021 Code (5-digit),NOC 2021 Label,NOC 2021 TEER,NOC 2016 Code (4-digit),NOC 2016 Label,NOC 2016 Skill level,Description
94121,"Pulp mill, papermaking and finishing machine operators",4,9432,Pulp mill machine operators,C,NOC 9432 merged with NOC 9433 to create NOC 94121.
,,,9433,Papermaking and finishing machine operators,C,NOC 9433 merged with NOC 9432 to create NOC 94121.
94122,Paper converting machine operators,4,9435,Paper converting machine operators,C,N/A
94123,Lumber graders and other wood processing inspectors and graders,4,9436,Lumber graders and other wood processing inspectors and graders,C,N/A
94124,Woodworking machine operators,4,9437,Woodworking machine operators,C,N/A
94129,Other wood processing machine operators,4,9434,Other wood processing machine operators,C,N/A
94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",4,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",C,N/A
94131,"Weavers, knitters and other fabric making occupations",4,9442,"Weavers, knitters and other fabric making occupations",C,N/A
94132,Industrial sewing machine operators,4,9446,Industrial sewing machine operators,C,N/A
94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",4,9447,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",C,N/A
94140,"Process control and machine operators, food and beverage processing",4,9461,"Process control and machine operators, food and beverage processing",C,N/A
94141,"Industrial butchers and meat cutters, poultry preparers and related workers",4,9462,"Industrial butchers and meat cutters, poultry preparers and related workers",C,N/A
94142,Fish and seafood plant workers,4,9463,Fish and seafood plant workers,C,Job titles related to fish and seafood plant workers moved from NOC 9463 to NOC 94142.
,,,9618,Labourers in fish and seafood processing,D,"NOC 9618 was split. Job title ""fish flaker - fish processing"" moved from NOC 9618 to NOC 94142."
94143,"Testers and graders, food and beverage processing",4,9465,"Testers and graders, food and beverage processing",C,N/A
94150,Plateless printing equipment operators,4,9471,Plateless printing equipment operators,C,N/A
94151,"Camera, platemaking and other prepress occupations",4,9472,"Camera, platemaking and other prepress occupations",C,N/A
94152,Binding and finishing machine operators,4,9473,Binding and finishing machine operators,C,N/A
94153,Photographic and film processors,4,9474,Photographic and film processors,C,N/A
94200,"Motor vehicle assemblers, inspectors and testers",4,9522,"Motor vehicle assemblers, inspectors and testers",C,N/A
94201,"Electronics assemblers, fabricators, inspectors and testers",4,9523,"Electronics assemblers, fabricators, inspectors and testers",C,N/A
94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",4,9524,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",C,N/A
94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",4,9525,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",C,N/A
94204,Mechanical assemblers and inspectors,4,9526,Mechanical assemblers and inspectors,C,N/A
94205,"Machine operators and inspectors, electrical apparatus manufacturing",4,9527,"Machine operators and inspectors, electrical apparatus manufacturing",C,N/A
94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",4,9532,Furniture and fixture assemblers and inspectors,C,NOC 9532 merged with NOC 9534 to create NOC 94210.
,,,9534,Furniture finishers and refinishers,C,NOC 9534 merged with NOC 9532 to create NOC 94210.
94211,Assemblers and inspectors of other wood products,4,9533,Other wood products assemblers and inspectors,C,N/A
94212,"Plastic products assemblers, finishers and inspectors",4,9535,"Plastic products assemblers, finishers and inspectors",C,N/A
94213,"Industrial painters, coaters and metal finishing process operators",4,9536,"Industrial painters, coaters and metal finishing process operators",C,N/A
94219,"Other products assemblers, finishers and inspectors",4,9531,Boat assemblers and inspectors,C,NOC 9531 merged with NOC 9537 to create NOC 94219.
,,,9537,"Other products assemblers, finishers and inspectors",C,NOC 9531 merged with NOC 9537 to create NOC 94219.
95100,Labourers in mineral and metal processing,5,9611,Labourers in mineral and metal processing,D,N/A
95101,Labourers in metal fabrication,5,9612,Labourers in metal fabrication,D,N/A
95102,Labourers in chemical products processing and utilities,5,9613,Labourers in chemical products processing and utilities,D,Job titles related to chemical products processing and utilities labourers moved from NOC 9613 to NOC 95102.
,,,9421,Chemical plant machine operators,C,"NOC 9421 was split. Job title ""Ring furnace operator helper"" moved from NOC 9421 to NOC 95102."
95103,"Labourers in wood, pulp and paper processing",5,9614,"Labourers in wood, pulp and paper processing",D,N/A
95104,Labourers in rubber and plastic products manufacturing,5,9615,Labourers in rubber and plastic products manufacturing,D,N/A
95105,Labourers in textile processing and cutting,5,9616,Labourers in textile processing,D,NOC 9445 merged with NOC 9616 to create NOC 95105.
,,,9441,"Textile fibre and yarn, hide and pelt processing machine operators and workers",C,"NOC 9441 was split. Job title ""Cloth-printing machine helper"" moved from NOC 9441 to NOC 95105."
,,,9445,"Fabric, fur and leather cutters",C,NOC 9445 merged with NOC 9616 to create NOC 95105.
95106,Labourers in food and beverage processing,5,9617,Labourers in food and beverage processing,D,N/A
95107,Labourers in fish and seafood processing,5,9618,Labourers in fish and seafood processing,D,NOC 9618 was split. Job titles related to labourers in fish and seafood processing moved from NOC 9618 to NOC 95107.
95109,"Other labourers in processing, manufacturing and utilities",5,9619,"Other labourers in processing, manufacturing and utilities",D,N/A
